,match_id,player_id,goal_type,created_at,updated_at
172,2020-10-17 Marseille,Pablo Marseille,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
173,2020-10-17 Marseille,J. Maja Bordeaux,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
174,2020-10-18 Strasbourg,H. Diallo Strasbourg,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
175,2020-10-18 Strasbourg,J. Aholou Strasbourg,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
176,2020-10-18 Strasbourg,T. Kadewere Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
177,2020-10-18 Strasbourg,K. Toko Ekambi Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
178,2020-10-18 Strasbourg,K. Toko Ekambi Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
179,2020-10-18 Monaco,W. Ben Yedder Monaco,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
180,2020-10-18 Monaco,S. Mavididi Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
181,2020-10-18 Nantes,R. Kolo Muani Nantes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
182,2020-10-18 Nantes,L. Blas Nantes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
183,2020-10-18 Nantes,A. Bamba Nantes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
184,2020-10-18 Nantes,R. Faivre Brest,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
185,2020-10-18 Angers,T. Mangani Angers,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
186,2020-10-18 Angers,O. Nguette Metz,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
187,2020-10-18 Saint-Étienne,A. Aouchiche Saint-Étienne,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
188,2020-10-18 Saint-Étienne,P. Lees-Melou Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
189,2020-10-18 Saint-Étienne,A. Gouiri Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
190,2020-10-18 Saint-Étienne,M. Maolida Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
191,2020-10-18 Lille,B. Yilmaz Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
192,2020-10-18 Lille,J. Bamba Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
193,2020-10-18 Lille,J. Ikoné Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
194,2020-10-18 Lille,Y. Yazici Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
195,2020-10-23 Rennes,A. Hunou Rennes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
196,2020-10-23 Rennes,S. Boufal Angers,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
197,2020-10-23 Rennes,A. Fulgini Angers,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
198,2020-10-24 Lorient,L. Balerdi Marseille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
199,2020-10-24 Paris,M. Kean Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
200,2020-10-24 Paris,M. Kean Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
